"NAME","EYE","ALIVE","APPEARANCES","FIRST APPEARANCE","HAIR","SEX","ALIGN","ID","SECRET"
"Moe","","Living Characters","10","1997, August","Brown Hair","Male Characters","Bad Characters","Public Identity","bdfbea88-1ff8-43d5-867b-30d0b068c12b"
"Reggie","","Living Characters","10","1997, October","Black Hair","Male Characters","Bad Characters","Public Identity","5d84bb55-e302-4c09-84ea-2447249e1f41"
"Aaron Langstrom","Brown Eyes","Living Characters","10","1996, April","Brown Hair","Male Characters","Neutral Characters","Secret Identity","d44c2f8a-354a-42a9-973b-ded73c69bfab"
"Kindred Grim","Blue Eyes","Deceased Characters","10","1996, September","Blond Hair","Male Characters","Bad Characters","Public Identity","28d11c40-63a5-4ed1-a332-08f4fb4dc23a"
"Mawzir","","Living Characters","10","1996, April","Blond Hair","Male Characters","Bad Characters","","9868782b-94aa-4230-b9c8-765b3b9ecec7"
"Mr. Truman","","Deceased Characters","10","1996, December","","Male Characters","Bad Characters","Public Identity","c7f3f17c-4714-43ad-9228-a0cc4ffd2965"
"Diedre Vance","Blue Eyes","Living Characters","10","1995","Blond Hair","Female Characters","Bad Characters","Public Identity","4382b857-c547-46f5-9002-111aec007ae6"
"Joshua Terrill","","Living Characters","10","1995, October","Brown Hair","Male Characters","Good Characters","Public Identity","5169350b-9af7-441a-a28c-1270c0b2bf80"
"White Lightning","Blue Eyes","Living Characters","10","1995, July","White Hair","Female Characters","Bad Characters","Secret Identity","6562f5c3-3a6a-4cd2-a52f-5bde8c25efab"
"Backlash","Black Eyes","Living Characters","10","1994, March","Brown Hair","Male Characters","Bad Characters","Secret Identity","89cba1b9-747d-41c5-a142-ac5abd36860b"
"Dennis Baintan","","Living Characters","10","1994, May","Black Hair","Male Characters","Good Characters","Public Identity","2df050fb-a1c3-4392-a6bc-284f7f07c800"
"Holly Marsh","","Living Characters","10","1994, October","Brown Hair","Female Characters","Neutral Characters","","087a2217-3be9-4006-83a5-ad88248e1421"
"Julianna Hut\u00f6ff","Blue Eyes","Deceased Characters","10","1994, March","Strawberry Blond Hair","Female Characters","Bad Characters","Public Identity","ac2022de-403e-487f-9d8f-3d4f072d2060"
"Manticore III","","Living Characters","10","1994, March","","Male Characters","Bad Characters","Secret Identity","533b4de1-738a-46f5-acdd-ad4c9aaa884e"
"Roberta Harper","","Living Characters","10","1994, November","Brown Hair","Female Characters","Good Characters","Public Identity","893eceb4-aab1-455b-8e63-928d34e8748b"
"Strom","Black Eyes","Living Characters","10","1994, November","Brown Hair","Male Characters","Bad Characters","Public Identity","eff78ee3-f436-4fee-b192-3d0a131bb772"
"Wade LaFarge","Blue Eyes","Deceased Characters","10","1994, October","Grey Hair","Male Characters","Bad Characters","Secret Identity","29261e89-504a-43a9-b104-a8eac189190e"
"Erewhon","","Living Characters","10","1993, October","","Male Characters","Good Characters","Secret Identity","df6b39ee-92cb-4028-b066-d2caca48f397"
"Patrick Noonan","Blue Eyes","Deceased Characters","10","1993","Black Hair","Male Characters","Neutral Characters","Public Identity","2c13989d-3845-4e28-8b07-0169f15d2840"
"Simpson Flanders","Blue Eyes","Deceased Characters","10","1993, May","Black Hair","Male Characters","Neutral Characters","","19e4321a-7319-410d-b978-cd01b838b644"
"Taia","Black Eyes","Living Characters","10","1993","Black Hair","Female Characters","Good Characters","Public Identity","d079db3e-ead8-4fd9-a424-bd95f985b31d"
"Henry Terrill","","Living Characters","10","1992, February","Brown Hair","Male Characters","Good Characters","Public Identity","5a2d6fb8-3044-4980-a2f3-f6e6a904990b"
"Jack of Spades IV","","Living Characters","10","1992, April","","Male Characters","Bad Characters","","6d232055-cedd-4c0d-b44c-6c33693da165"
"Jean-Paul Ludovic Valley","Blue Eyes","Deceased Characters","10","1992, October","Blond Hair","Male Characters","Good Characters","Secret Identity","9f40bcdc-31ae-4e5a-ac2e-b1357e10df58"
"Stone","Brown Eyes","Deceased Characters","10","1991, March","Grey Hair","Male Characters","Good Characters","Public Identity","8fa57025-b8b0-4e21-87c0-991e90f5c087"
"Clotho","Brown Eyes","Deceased Characters","10","1990, August","White Hair","Female Characters","","Public Identity","c8bfb5d2-8995-4dc2-abd8-dcd74235fe4d"
"Daniel Hunter","Blue Eyes","Living Characters","10","1990, March","Red Hair","Male Characters","Good Characters","Secret Identity","118f4fbc-b44e-4d8f-9df9-0876d8ef9c86"
"500-ZQ","Blue Eyes","Living Characters","10","1989, January","","Female Characters","Good Characters","","101be27e-e18a-4037-b104-f21531ec5176"
"Asmund Lindel","","Living Characters","10","1989, December","","Male Characters","Good Characters","Public Identity","29ccf1c0-fef2-40d8-8792-f8d31ca9e123"
"Belle Jackson","Blue Eyes","Living Characters","10","1989, January","Black Hair","Female Characters","Good Characters","Secret Identity","74a81169-b051-4f1a-a3ba-b530bc4cf6fb"
"Diana Theotocopoulos","","Living Characters","10","1989, January","Red Hair","Female Characters","Good Characters","Public Identity","efdaa972-ce99-4540-853f-ecd03498ed72"
"Fritz Klein","","Living Characters","10","1989, January","","Male Characters","Good Characters","","1fc3cc07-2431-4da8-ae4a-ab385857509a"
"Gillespie","Blue Eyes","Living Characters","10","1989, February","Black Hair","Male Characters","Bad Characters","","ba8a7f3a-b2af-40b4-9abb-4b09500d3ac6"
"Goldie the Gargoyle","Black Eyes","Living Characters","10","1989, February","","Male Characters","Neutral Characters","Public Identity","1090409e-d663-4f77-8edd-ec1b187e721b"
"Henri Claude Tibet","","Living Characters","10","1989, December","Brown Hair","Male Characters","Good Characters","Public Identity","29c7a9df-3ded-4c3f-98db-a6fc3bad71b2"
"James Highwater","Brown Eyes","Living Characters","10","1989, February","Black Hair","Male Characters","Good Characters","Public Identity","89b44b6b-d118-4d3f-a04d-86d2d979af2a"
"Moshe Levy","","Living Characters","10","1989, January","Black Hair","Male Characters","Good Characters","Public Identity","64561ff8-7b34-4a9d-9136-a433cf57aacb"
"Robert Cantwell","","Living Characters","10","1989, December","Grey Hair","Male Characters","Good Characters","Public Identity","fbbf7aef-6160-41b9-97bc-873cb57f391a"
"Robert Queen","","Living Characters","10","1989, August","Black Hair","Male Characters","Neutral Characters","","b69f4782-9b81-4da3-9808-a966ccab19a5"
"Rovo Quashi","Brown Eyes","Living Characters","10","1989, December","Black Hair","Male Characters","Good Characters","Public Identity","66591119-ada0-482f-aaee-d71ec42ebdde"
"Dennis Blake","","Deceased Characters","10","1988, October","Blond Hair","Male Characters","Bad Characters","Public Identity","b2fbb8f8-d4f8-411d-819e-18da6c754249"
"Eliot Shaw","Brown Eyes","Living Characters","10","1988, July","Brown Hair","Male Characters","Good Characters","","17cc27d8-b9d0-4f25-a182-fa67c545ad7b"
"Feodor Piotrovitch Sorin","","Living Characters","10","1988, April","","Male Characters","Good Characters","","da78eeb9-8fa5-4a46-aa61-55f4b50f60f7"
"Frank Donovan","","Living Characters","10","1988, October","Black Hair","Male Characters","Bad Characters","Public Identity","7d07be50-3208-487b-a0f4-ba6ec398a4dc"
"Horace Westlake","Blue Eyes","Living Characters","10","1988, November","White Hair","Male Characters","Good Characters","Public Identity","997e702f-8e3b-4edd-9b66-7b14fa535bf8"
"James Shaw","Brown Eyes","Living Characters","10","1988, July","Brown Hair","Male Characters","Good Characters","","470093bf-c04d-4cc0-8ebe-835f4564c6df"
"Lucius Best","Brown Eyes","Living Characters","10","1988, July","Brown Hair","Male Characters","Good Characters","","ab1072b1-5f54-47cb-ad49-f98e905f5bdc"
"Mashenka Medviedenko","Green Eyes","Living Characters","10","1988, April","Brown Hair","Female Characters","Good Characters","","5d74ecc2-12c8-40c7-9f57-123ecdb8694c"
"Olivia Hardy","","Living Characters","10","1988, October","Red Hair","Female Characters","Bad Characters","","cee57b11-5e31-47e3-a7f6-ef98858c3499"
"Phillip Karnowsky","","Living Characters","10","1988","","Male Characters","Bad Characters","Secret Identity","bd571760-1325-4bf4-8aed-8ab9240ba467"
"Samantha Morgan","","Living Characters","10","1988, October","Blond Hair","Female Characters","Bad Characters","Public Identity","8c568c62-9506-42bc-875f-cffdd15f9df9"
"Stanley Hale","","Living Characters","10","1988, October","Grey Hair","Male Characters","Bad Characters","","3a9e602f-a2b8-45a2-bbfe-ec82e500a9f5"
"Stavros Christadoulodou","Brown Eyes","Living Characters","10","1988, June","","Male Characters","Good Characters","Public Identity","9bdde148-2a2e-4046-9d27-577a665486fe"
"Steven Majorski","","Living Characters","10","1988, October","Blond Hair","Male Characters","","","1cbdb2a4-4322-4ec5-bdbc-9df505713824"
"Wintley Roth","Blue Eyes","Living Characters","10","1988, December","Black Hair","Male Characters","Good Characters","","5d16fa3d-09e5-4580-9305-17dc4f83d783"
"Amazing Grace","Green Eyes","Living Characters","10","1987, March","Red Hair","Female Characters","Bad Characters","Secret Identity","c725215b-8b55-447e-b978-b9714cca0495"
"Decay","Violet Eyes","Living Characters","10","1987, April","Red Hair","Female Characters","Bad Characters","Secret Identity","95c9f556-12a6-4fd6-9699-1133c9999b19"
"Gr\u00f6sshorn Eule","","Living Characters","10","1987, June","","Male Characters","Bad Characters","Secret Identity","874e92d2-1e2d-4b7f-844e-b300350d5511"
"Olapet","","Living Characters","10","1987, October","","Female Characters","Good Characters","","9fc6fe90-e26d-4c08-8ae0-8a5400c60038"
"Typhon","","Living Characters","10","1987, July","","Male Characters","Bad Characters","","3abd1bf9-a1a3-4fc1-8d5c-0190a90c992f"
"Usil","","Living Characters","10","1987, June","Black Hair","Male Characters","Bad Characters","Secret Identity","b68575bf-b08b-4ee3-986c-78cd3ad33a5f"
"Andonis Bal","","Deceased Characters","10","1986, October","","Male Characters","Bad Characters","","e09e44b2-cb27-49e5-800c-3c458d69a61e"
"Curtis Calhoun","","Deceased Characters","10","1986, August","","Male Characters","Bad Characters","","476d1b33-5643-4f8d-83e5-35d613ffda38"
"Earl Dukeston","Blue Eyes","Living Characters","10","1986, April","Red Hair","Male Characters","Bad Characters","","127f93a3-0231-4d3d-9eb5-2ee01df91068"
"Leonard Davis","","Living Characters","10","1986, May","","Male Characters","Good Characters","Public Identity","a855c63e-91ab-471a-9ced-7a371f86ae12"
"Palaqua","","Living Characters","10","1986","","Male Characters","Good Characters","","d3170306-1584-4083-a1ec-a224ad4336b3"
"Ranx","","Deceased Characters","10","1986","","Male Characters","Bad Characters","Public Identity","6c0133cf-79aa-43dd-bc33-6f6d7bfc04b2"
"Baby Boom","","Living Characters","10","1985, August","Blond Hair","Female Characters","Bad Characters","Secret Identity","88944d4a-4bb9-4b20-a6de-f5659cd9af9a"
"Franklin North","","Living Characters","10","1985, July","Brown Hair","Male Characters","","Public Identity","e3451ab2-d9fc-4d70-ad22-9dbe39cb8c78"
"Shatterfist I","","Deceased Characters","10","1985, January","Black Hair","Male Characters","Bad Characters","Secret Identity","cf0b7ff9-d7f4-4d6d-9031-382f0788e752"
"Vanessa Kingsbury","","Deceased Characters","10","1985, February","Pink Hair","Female Characters","Bad Characters","","522b9d49-afdb-4f9d-86ee-23966403c850"
"Theodore Gaynor","Green Eyes","Deceased Characters","10","1984, January","Blond Hair","Male Characters","Bad Characters","Public Identity","d14186be-5ca7-4e0a-893d-e9c86e9f093a"
"William Walsh","","Deceased Characters","10","1984, July","Brown Hair","Male Characters","Bad Characters","Secret Identity","0faafc8a-1c5b-4324-8abe-f92fc03c3096"
"Clarissa Clemens","Green Eyes","Living Characters","10","1983, March","Black Hair","Female Characters","Bad Characters","","ca96e566-a0fa-4ab6-aaff-01fe1c651342"
"Henry Hewitt","Blue Eyes","Deceased Characters","10","1983, August","","Male Characters","Bad Characters","Secret Identity","055d1bac-d280-4048-92bf-e6d21117bb77"
"Rhoark","","Living Characters","10","1983, June","Brown Hair","Male Characters","Good Characters","","4abce592-b320-4d67-a500-6759d66ca803"
"Theresa Gomez","Brown Eyes","Living Characters","10","1983, November","Black Hair","Female Characters","Good Characters","","58bd30ec-8032-48e7-a227-ec446d493a20"
"Myrra Rhodes","","Living Characters","10","1980, November","","Female Characters","Good Characters","Secret Identity","b375026f-3722-4bdf-b22b-ad85a66f2ca7"
"Joseph Rigger","Brown Eyes","Living Characters","10","1979, December","Black Hair","Male Characters","Bad Characters","","81797bfd-ef98-46c1-9926-7db91dc20658"
"Tiffany Fox","Brown Eyes","Living Characters","10","1979, February","Black Hair","Female Characters","Good Characters","Public Identity","29b9c8a2-d50a-406b-a9e3-9449e1a35ead"
"Andrew Vinson","Blue Eyes","Living Characters","10","1978, February","Black Hair","Male Characters","Neutral Characters","Public Identity","aab13d77-a74e-4ae7-acea-15ac75982bf1"
"Sumo","Brown Eyes","Deceased Characters","10","1978, January","Black Hair","Male Characters","Bad Characters","","3005c85a-31c2-4308-81c1-95b12c158eba"
"Frank Tanner","Brown Eyes","Living Characters","10","1977, July","Black Hair","Male Characters","Bad Characters","Public Identity","12dd47bd-79ed-43f3-8a63-3d2ba987fe8e"
"Robert Coleman","Grey Eyes","Living Characters","10","1977, July","Black Hair","Male Characters","Bad Characters","Secret Identity","5edd0640-177d-4d58-b33e-02d851971d67"
"Karl Courtney","Blue Eyes","Deceased Characters","10","1976, June","","Male Characters","Bad Characters","Secret Identity","bbec647e-7aa0-442d-819b-0d70a714f519"
"Saarek","","Deceased Characters","10","1976, September","","Male Characters","Good Characters","Public Identity","ea4607b3-e55e-488d-a8e7-04cb0688bc40"
"Asano Nitobe","","Living Characters","10","1974, March","Black Hair","Male Characters","Good Characters","Public Identity","2b12bfab-72cf-4eab-b482-93597f8794f5"
"Devilance","Blue Eyes","Deceased Characters","10","1972, November","","Male Characters","Bad Characters","Secret Identity","7fea2ab5-4dc7-41ed-aa85-b2ca30f53a76"
"Theophilus Warly","","Living Characters","10","1972, September","White Hair","Male Characters","Bad Characters","Public Identity","968b636c-0d33-427d-9b20-e5743826ef4a"
"Gole","Red Eyes","Deceased Characters","10","1971, May","","Male Characters","Bad Characters","","5e8e74ae-9b67-4838-9902-076de975960d"
"Moon Fawn","","Deceased Characters","10","1970, December","Black Hair","Female Characters","Good Characters","Public Identity","24819d79-c0e8-4794-b46d-605da6125636"
"Ramia","","Living Characters","10","1966, June","Black Hair","Female Characters","","","32746475-109a-4a62-b45a-caed97e7434f"
"Tiger Moth","Blue Eyes","Living Characters","10","1966, June","Blond Hair","Female Characters","Bad Characters","Secret Identity","66b045b6-d0a4-41be-b4c1-f48ec0bdba97"
"Black Wolf","","Living Characters","10","1965, February","Black Hair","Male Characters","","","ffe57708-b419-4e55-a943-b10a9b0f0547"
"Desmond Farr","","Living Characters","10","1965, August","","Male Characters","Good Characters","Public Identity","b2010f0c-f923-4598-b91b-23b01f649a66"
"Jonathan Dubrovny","Black Eyes","Living Characters","10","1965, September","White Hair","Male Characters","Bad Characters","Secret Identity","7e3e4aca-bb9c-4ff1-9685-c8a97b17100b"
"Myrwhydden","Blue Eyes","Living Characters","10","1964, January","White Hair","Male Characters","Bad Characters","Public Identity","f43073e7-2829-4852-9b4d-21ec65f05758"
"Flying Stag","Grey Eyes","Deceased Characters","10","1961, March","Black Hair","Male Characters","Good Characters","Secret Identity","10d89052-cc35-4747-9d5c-2c5192921b10"
"Korlian Dasor","","Living Characters","10","1961, October","","Male Characters","Good Characters","Public Identity","f990a1a4-90c8-4a56-b088-b8357885e0fd"
"NautKeLoi","Yellow Eyes","Living Characters","10","1961, December","","Male Characters","Good Characters","","b8e56648-2451-404c-bce0-634458659cf9"
"Jordan Weir","Hazel Eyes","Living Characters","10","1960, August","Grey Hair","Male Characters","Bad Characters","Secret Identity","04804417-0b9f-4e14-af96-72d48c90b920"
"Hugh Evans","","Deceased Characters","10","1959, September","Red Hair","Male Characters","Good Characters","Public Identity","297ff63f-a44c-42ab-8c03-407da086f2f8"
"Martin Phillips","","Living Characters","10","1959, December","","Male Characters","Bad Characters","","6bfccf2d-20be-4621-ac11-86ba9cd614a4"
"Lewis Moxon","","Deceased Characters","10","1956, September","","Male Characters","Bad Characters","Public Identity","0fd54f93-3479-4514-a8ae-1d5939a6dffa"
"Turtle Man","Blue Eyes","Living Characters","10","1956, October","Black Hair","Male Characters","Bad Characters","","ec8740b4-8092-426f-9baf-d957ce752404"
"Charles Great Eagle","Brown Eyes","Living Characters","10","1954, September","Brown Hair","Male Characters","Good Characters","Public Identity","a94e91d0-c6cd-47d5-b2ea-af9259143b45"
"James Butler Hickok","","Living Characters","10","1953, January","Brown Hair","Male Characters","Good Characters","Public Identity","2b17f78c-3539-410f-8d52-1bd0ac15988c"
"Leonardo da Vinci","","Living Characters","10","1948, April","White Hair","Male Characters","Good Characters","Public Identity","dc522df1-e0d9-4dac-bd44-cefa9d23162e"
"Queen Clea","Blue Eyes","Living Characters","10","1944, March","Blond Hair","Female Characters","Bad Characters","Public Identity","26934603-6282-459b-ad00-6bbc1fd766d2"
"Joseph Morgan","","Living Characters","10","1940, October","Black Hair","Male Characters","","Public Identity","bff60954-1968-4593-adc5-e750df766dcd"
"Marilyn Batson","Brown Eyes","Deceased Characters","10","","Brown Hair","Female Characters","Good Characters","Public Identity","6ae6a66e-cf5a-43b8-b619-eb1e77cb4c97"
"Michael Tree","","Living Characters","10","","Black Hair","Female Characters","","","2d1fdf11-3771-4f5a-bc0b-bdfa2648619e"
"Arvin Halliday","","Deceased Characters","9","2010, January","","Male Characters","Bad Characters","Public Identity","0ef2145c-30e6-47e8-b67e-3e88fbfba04c"
"Comet","","Living Characters","9","2010, March","","Male Characters","Good Characters","Secret Identity","d8d00751-eda0-4a03-9d64-3ce9904efbdd"
"Deathstorm","","Deceased Characters","9","2010, November","","Male Characters","Bad Characters","Public Identity","f352cee3-aa73-4aa6-86ee-82e3bce76c08"
"Gorius Karkum","Red Eyes","Living Characters","9","2010, July","","Female Characters","Good Characters","Public Identity","780d08a2-ea51-4753-9605-7977ed20a33d"
"Arin Sur","","Living Characters","9","2009, October","Black Hair","Female Characters","Neutral Characters","","b44a1092-cc06-4ada-98e9-3ec10d77bbc2"
"Cobi","Black Eyes","Living Characters","9","2009, August","","Male Characters","Bad Characters","","7fbb4598-154e-4b8d-81d2-4c9ad15b7463"
"Genocide","","Deceased Characters","9","2009, January","Red Hair","Female Characters","Bad Characters","Public Identity","e68c9336-10e5-4288-b6ff-ead1620ca96b"
"Sasha","Blue Eyes","Living Characters","9","2009, August","Brown Hair","Female Characters","Good Characters","Secret Identity","cd5f6182-b6ff-492a-ba20-d848448f1c79"
"Wyld","","Living Characters","9","2009, November","","Male Characters","Bad Characters","","7db75ab1-8e88-44e0-864c-2c2bedb2e602"
"Ausiin Snow","","Living Characters","9","2008, February","","Male Characters","Bad Characters","","07a8e2d7-0700-4a58-affa-f648d6d66883"
"Colin Wilkes","","Living Characters","9","2008, October","Red Hair","Male Characters","Good Characters","Secret Identity","46708d36-36b0-4748-b1da-dd5878550965"
"Detonator","","Living Characters","9","2008, January","","Male Characters","Bad Characters","Secret Identity","55949865-d9c5-4411-8dbc-9aa46e45e6f1"
"Devil Dog","","Living Characters","9","2008, September","","Male Characters","Bad Characters","","094f041a-6a66-4280-a682-29882eecae28"
"Genevieve Campbell","","Living Characters","9","2008, September","","Female Characters","Good Characters","","d9afbca9-29db-4a1f-8f9c-415724db29f0"
"Hops Jones","Brown Eyes","Living Characters","9","2008, July","Black Hair","Male Characters","Good Characters","","d139d6d9-51ef-4ce7-ba17-56069c277e56"
"Jeremy Jape","","Living Characters","9","2008, July","Blond Hair","Male Characters","Neutral Characters","","b0a8c710-d3b8-4dcc-9b8a-6a70cb6c52fb"
"Johnny Riley","Brown Eyes","Living Characters","9","2008, December","Brown Hair","Male Characters","Good Characters","Secret Identity","9eb8a5f1-9364-4003-ad19-58a54466db5c"
"Marla Elliot","","Living Characters","9","2008, September","Red Hair","Female Characters","Neutral Characters","Public Identity","a205cea2-152b-4b0a-b485-a954ddbc78cc"
"Myrto","Blue Eyes","Living Characters","9","2008, January","Blond Hair","Female Characters","Bad Characters","Public Identity","28f8a813-c1f2-4645-af48-8f3c217073e3"
"Philomela","Blue Eyes","Living Characters","9","2008, January","Black Hair","Female Characters","Bad Characters","Public Identity","1b51ab0b-7f68-43aa-af4c-536a1ee29b5f"
"Red Volcano","Yellow Eyes","Living Characters","9","2008, June","","Male Characters","Bad Characters","Secret Identity","ef722619-dbd4-428f-ad8a-f0e5c635b884"
"Tristessa Delicias","Green Eyes","Living Characters","9","2008, June","Black Hair","Female Characters","Bad Characters","","d081c025-886a-4c5d-bb28-b904dd9293c3"
"Azraeuz","Green Eyes","Deceased Characters","9","2007, January","","Male Characters","","Secret Identity","a989d25d-7216-4118-beb7-d6cd6b35fb7c"
"Kretch","","Living Characters","9","2007, August","","Male Characters","Bad Characters","","6f7bb587-1b83-47ae-a0b9-42da7fee1a2d"
"Rachel Dodds","","Living Characters","9","2007, December","Brown Hair","Female Characters","","","365205e3-32df-4990-abcf-6167bd78e9f7"
"Anthony Marchetti","","Living Characters","9","2006, December","Black Hair","Male Characters","Bad Characters","Public Identity","3c212360-4749-4e89-9ba0-c3c9951c9a20"
"Crimson Fox III","","Living Characters","9","2006, June","","Female Characters","Good Characters","Secret Identity","bcb4e3ce-1024-4580-9d09-62be15b54229"
"Damper","","Living Characters","9","2006, June","Brown Hair","Male Characters","","Secret Identity","c766b03e-3853-4385-8a8d-91ea2190c4f9"
"Manticore IV","","Living Characters","9","2006, May","","Male Characters","Good Characters","Secret Identity","897c60e6-adf1-4363-9644-eea4043e4e44"
"Michael Costner","","Living Characters","9","2006, September","Brown Hair","Male Characters","Good Characters","","c1c491e9-4d2a-4cfe-b7a5-ccb63f9bdbd9"
"Nicki Jones","Blue Eyes","Living Characters","9","2006, November","Brown Hair","Female Characters","Good Characters","Public Identity","214e8647-e1e5-433e-b62b-13acbd381ea7"
"Philip Curry","","Living Characters","9","2006, May","","Male Characters","","Public Identity","a2570550-e401-4b6a-be05-4ba15d05b7e8"
"Sandstorm","","Deceased Characters","9","2006, September","","Male Characters","Good Characters","Secret Identity","a0e1ff55-374c-4d06-bded-0a64c0874391"
"Sun King","White Eyes","Deceased Characters","9","2006, August","","Male Characters","Bad Characters","Secret Identity","ed29f366-ad4e-4865-ae27-5eefb8035b20"
"Tanakata Z","","Deceased Characters","9","2006, September","","Male Characters","Good Characters","","3a07224d-47e7-459b-ac07-704e067d57dc"
"Esther Maris","","Living Characters","9","2005, May","Blond Hair","Female Characters","Good Characters","Public Identity","144f7305-435b-4c62-8759-762755a38ba4"
"Ilsa von Hammer","","Living Characters","9","2005, July","Blond Hair","Female Characters","Good Characters","","1d843ba3-a7c6-4f37-843a-8ecdf43fdb95"
"Jonathan Stone","Blue Eyes","Living Characters","9","2005, August","White Hair","Male Characters","Good Characters","Public Identity","8e639f14-5a48-4066-8d18-f33f1ce82bee"
"Ishmael Gregor","","Living Characters","9","2004, March","","Male Characters","Bad Characters","Public Identity","1f3bf734-ca26-44cc-824a-5bbba80b7b07"
"Preus","Blue Eyes","Living Characters","9","2004, April","Blond Hair","Male Characters","Bad Characters","Secret Identity","c9b1ca5c-0e26-42e7-b6f1-b70020aea7f5"
"Jonathan Williams","Brown Eyes","Living Characters","9","2003, October","","Male Characters","Bad Characters","Secret Identity","2f9c2415-75c3-44aa-a351-4598635752b1"
"Martin Garibaldi","","Living Characters","9","2003, October","Brown Hair","Male Characters","Good Characters","Public Identity","ca628d10-2355-4513-a7e1-51ab626951f4"
"Nathan Patton","","Deceased Characters","9","2003, February","","Male Characters","Good Characters","","61621a8d-30b9-4947-a195-18c7aea9fe70"
"Ronald Probson","","Deceased Characters","9","2003, February","Brown Hair","Male Characters","Good Characters","","af5636c2-ad1f-44b3-a121-ae24c95da601"
"Sweeney","Brown Eyes","Living Characters","9","2003, March","Black Hair","Female Characters","Good Characters","","90176107-790c-4f09-81c2-f40c3bce9c83"
"Thirst","Black Eyes","Living Characters","9","2003, June","","Male Characters","Bad Characters","Secret Identity","cd790775-741e-4419-b1d6-7de07902e96a"
"Celia Kazantkakis","","Living Characters","9","2002, December","Grey Hair","Female Characters","Bad Characters","Secret Identity","f5145102-7f7d-450e-922d-7b89c7e1378c"
"Freeway","","Living Characters","9","2002, November","","Male Characters","Bad Characters","Secret Identity","de2f6dee-2c6a-4435-bbc7-7e640eeedc9f"
"Mister Fun","Brown Eyes","Living Characters","9","2002, December","Brown Hair","Male Characters","Bad Characters","Secret Identity","500e97a3-fe13-4e84-bbed-fad25cbded9a"
"Officer Isabella","Brown Eyes","Living Characters","9","2002, August","Black Hair","Male Characters","Good Characters","Public Identity","375952f3-2a2e-4dc2-962e-ba5325bd6f8b"
"Oliver Evans","","Living Characters","9","2002, May","Black Hair","Male Characters","Good Characters","Public Identity","20a37e82-5fd9-42d6-8dfe-d93ff4686150"
"Xavier Dylan","","Deceased Characters","9","2002, May","Blond Hair","Male Characters","Bad Characters","","1100ee7d-1523-4720-a687-1aa280e4cd57"
"Bud and Lou the Hyenas","","Deceased Characters","9","2001, March","Brown Hair","Male Characters","Bad Characters","Secret Identity","1b193a26-5763-45f4-880e-95a27675ea1f"
"Dakota Jamison","Brown Eyes","Living Characters","9","2001, May","Black Hair","Female Characters","Good Characters","Public Identity","70e1a64b-026c-45e3-9029-a6da40045b82"
"Thayer Jost","","Living Characters","9","2001, December","Black Hair","Male Characters","Good Characters","Public Identity","aa042d30-b573-46b2-a683-4099065ed365"
"Andrea Rojas","Blue Eyes","Living Characters","9","2000, August","Red Hair","Female Characters","Good Characters","Secret Identity","129d5ce6-b6a1-4380-858b-30d7e8b6ce0c"
"Selma Tolon","Brown Eyes","Living Characters","9","2000, August","Black Hair","Female Characters","Good Characters","Secret Identity","74ec45a8-8b96-46a7-9eac-79479350cc04"
"Bethany Lee","","Living Characters","9","1999, April","Black Hair","Female Characters","Neutral Characters","Public Identity","d533a554-5f5a-4aba-b561-4b2e8d4298c0"
"Edwin Gauss","Brown Eyes","Living Characters","9","1999, October","Black Hair","Male Characters","Bad Characters","Secret Identity","f5805150-d59e-43d3-9f3b-4cb879048622"
"Lucas Ludlow-Dalt","Brown Eyes","Deceased Characters","9","1998, October","Brown Hair","Male Characters","Bad Characters","Secret Identity","c70d3469-3dc6-474c-b406-b6b784a7b7ce"
"Ronald Houston","Black Eyes","Deceased Characters","9","1998, December","","Male Characters","Good Characters","Secret Identity","df4d074d-e84c-4395-a192-5d299f49317d"
"Tuoni","Black Eyes","Living Characters","9","1998, August","","Male Characters","Bad Characters","Public Identity","b7920891-51bb-4950-97d3-2aea9dbb9d75"
"Maura Rayner","Blue Eyes","Deceased Characters","9","1997, July","Blond Hair","Female Characters","Good Characters","Public Identity","3a6bcc66-9afc-4866-a86e-57e704872969"
"Micah Flint","White Eyes","Living Characters","9","1997, March","","Male Characters","Bad Characters","Secret Identity","af93d0ee-de4e-4717-9c69-3a562bb2812a"
"Nathaniel Kent","","Living Characters","9","1997, August","","Male Characters","","Public Identity","a48dd795-f99c-48b6-8635-aad0e5ed5aa4"
"Yoof","","Living Characters","9","1997, September","","Male Characters","","","05a794e5-abb5-4ab8-bea1-4d1c57becd99"
"Bouncer","","Living Characters","9","1996, September","Black Hair","Male Characters","Good Characters","Public Identity","4d938d75-1779-4acb-ac61-83844d5e5602"
"Julia Frostick","","Living Characters","9","1996, September","Black Hair","Female Characters","Good Characters","Public Identity","b979f4d0-128e-4874-9f0b-453e12067b09"
"Klo","","Living Characters","9","1996, September","","Female Characters","Bad Characters","Public Identity","57e45568-e35e-427c-bcb0-ad74210cce20"
"Callie Evans","","Living Characters","9","1995, December","Brown Hair","Female Characters","Good Characters","Public Identity","28522176-6329-4d0e-90a6-347cecf57629"
"Dardan","","Living Characters","9","1995, August","","Male Characters","","Public Identity","f7e7e0f6-90cb-4d9d-bdf5-21016b82b7a3"
